abbr_name,ra,dec
And,0.14137166,0.67264989
Ant,2.65988178,-0.60109139
Aps,4.23067810,-1.33133715
Aqr,5.94546409,-0.17784905
Aql,5.14959395,-0.04363323
Ara,4.55269135,-0.93514741
Ari,0.69638637,0.35063664
Aur,1.57079632,0.72832589
Boo,3.85630498,0.53616514
Cae,1.23569311,-0.68416906
Cam,1.50796447,1.22644286
Cnc,2.27503667,0.35168384
CVn,3.44527994,0.71820298
CMa,1.79594380,-0.38362336
CMi,2.00538331,0.10297442
Cap,5.50302313,-0.35308010
Car,2.29336263,-1.04527768
Cas,0.26441738,1.08559479
Cen,3.43742596,-0.80215332
Cep,5.89572221,1.24948121
Cet,0.37175513,-0.19809487
Cha,2.76983752,-1.39190007
Cir,3.94793476,-1.03009332
Col,1.50796447,-0.61592669
Com,3.34056018,0.38100537
CrA,4.87994058,-0.72413710
CrB,4.15999227,0.56182148
Crv,3.26202037,-0.23265238
Crt,2.99236700,-0.20943951
Cru,3.25940237,-1.04667395
Cyg,5.39830337,0.73356188
Del,5.41924732,0.24102996
Dor,1.36921079,-1.11177473
Dra,4.64693913,1.09100531
Equ,5.55276501,0.12217304
Eri,1.02625360,-0.27611108
For,0.72780229,-0.55204764
Gem,1.88233759,0.39601520
Gru,5.91928415,-0.77702058
Her,4.53698339,0.52185344
Hor,0.81419609,-0.92153384
Hya,2.64940980,-0.33789574
Hyi,0.64402649,-1.26152398
Ind,5.54752902,-0.93148222
Lac,5.88001424,0.78225657
Leo,2.79078147,0.28710666
LMi,2.69653369,0.61365776
Lep,1.46084058,-0.33719761
Lib,3.98196868,-0.27209683
Lup,4.03171057,-0.74979344
Lyn,2.10224908,0.79098321
Lyr,4.93230046,0.64263023
Men,1.41109870,-1.35751709
Mic,5.48993316,-0.61435589
Mon,1.87186562,-0.10018189
Mus,3.26202037,-1.22766459
Nor,4.20188017,-0.90774574
Oct,5.57894495,-1.46188778
Oph,4.49771348,-0.07400196
Ori,1.46345857,0.07993607
Pav,5.15221195,-1.15418623
Peg,5.95593607,0.34086280
Per,0.97127572,0.72902402
Phe,0.18325957,-0.84770641
Pic,1.41633468,-0.87790061
Psc,0.22252947,0.19338248
PsA,5.83550835,-0.53511794
Pup,1.98182136,-0.68748519
Pyx,2.33786853,-0.54157566
Ret,1.01578162,-1.06726883
Sge,5.14959395,0.31084313
Sgr,5.00298630,-0.44977134
Sco,4.44797159,-0.64873888
Scl,0.13089969,-0.56461401
Sct,4.88779457,-0.17976891
Ser,4.11286838,0.15830136
Sex,2.68606171,-0.04206243
Tau,1.11788338,0.32934362
Tel,5.05534617,-0.88069314
Tri,0.55239670,0.55902895
TrA,4.20973415,-1.15034650
Tuc,0.03403392,-1.13376588
UMa,2.79339946,0.96656333
UMi,3.96939495,1.33782683
Vel,2.53421807,-0.82815873
Vir,3.45836991,-0.06510078
Vol,2.05512519,-1.21527275
Vul,5.32499954,0.43737951
